sample_id,storm_id,t0_utc,gridsat_spatial_mean,imerg_spatial_mean,gate_median,gate_p10,gate_p90,spatial_variance
NIO_2022_ASANI_20220509_0900Z,NIO_2022_ASANI,2022-05-09T09:00:00Z,0.49649956822395325,0.5035004317760468,0.49856841564178467,0.4131135940551758,0.5829290151596069,0.008144085295498371
NIO_2022_ASANI_20220509_1200Z,NIO_2022_ASANI,2022-05-09T12:00:00Z,0.4971100986003876,0.5028899013996124,0.4987300634384155,0.4122549891471863,0.5858766436576843,0.008023104630410671
NIO_2022_ASANI_20220509_1500Z,NIO_2022_ASANI,2022-05-09T15:00:00Z,0.4973728656768799,0.5026271343231201,0.4985244870185852,0.4146910607814789,0.5845534801483154,0.0074216038919985294
NIO_2022_ASANI_20220509_1800Z,NIO_2022_ASANI,2022-05-09T18:00:00Z,0.4974360764026642,0.5025639235973358,0.4985128343105316,0.41470858454704285,0.5845127701759338,0.0071603418327867985
NIO_2022_ASANI_20220510_0000Z,NIO_2022_ASANI,2022-05-10T00:00:00Z,0.49748799204826355,0.5025120079517365,0.4986160397529602,0.41500017046928406,0.5842867493629456,0.007066119462251663
NIO_2022_MANDOUS_20221206_1200Z,NIO_2022_MANDOUS,2022-12-06T12:00:00Z,0.49469655752182007,0.5053034424781799,0.4976390600204468,0.41311779618263245,0.5784331560134888,0.008257930167019367
NIO_2022_MANDOUS_20221206_1800Z,NIO_2022_MANDOUS,2022-12-06T18:00:00Z,0.4949662983417511,0.5050337016582489,0.4978727102279663,0.4113616943359375,0.5803729295730591,0.008443157188594341
NIO_2022_MANDOUS_20221207_0000Z,NIO_2022_MANDOUS,2022-12-07T00:00:00Z,0.4951254725456238,0.5048745274543762,0.49763697385787964,0.4072951078414917,0.5854089856147766,0.008711996488273144
NIO_2022_MANDOUS_20221207_0600Z,NIO_2022_MANDOUS,2022-12-07T06:00:00Z,0.49481385946273804,0.505186140537262,0.4973980784416199,0.4037265479564667,0.5873669385910034,0.00926180649548769
NIO_2022_MANDOUS_20221207_1200Z,NIO_2022_MANDOUS,2022-12-07T12:00:00Z,0.4953841269016266,0.5046158730983734,0.4972923994064331,0.40620991587638855,0.586990237236023,0.008960905484855175
NIO_2022_MANDOUS_20221207_1800Z,NIO_2022_MANDOUS,2022-12-07T18:00:00Z,0.4956541359424591,0.5043458640575409,0.49741876125335693,0.4113321304321289,0.5821251273155212,0.007910266518592834
NIO_2022_MANDOUS_20221207_2100Z,NIO_2022_MANDOUS,2022-12-07T21:00:00Z,0.49608248472213745,0.5039175152778625,0.49766668677330017,0.4131230413913727,0.5818970799446106,0.007665426004678011
NIO_2022_MANDOUS_20221208_0000Z,NIO_2022_MANDOUS,2022-12-08T00:00:00Z,0.4962640106678009,0.5037359893321991,0.4978434443473816,0.41397613286972046,0.5819537043571472,0.00735574821010232
NIO_2022_MANDOUS_20221208_0300Z,NIO_2022_MANDOUS,2022-12-08T03:00:00Z,0.49598222970962524,0.5040177702903748,0.4975862503051758,0.4158637225627899,0.5804334878921509,0.007163282483816147
NIO_2022_MANDOUS_20221208_0600Z,NIO_2022_MANDOUS,2022-12-08T06:00:00Z,0.4960886240005493,0.5039113759994507,0.4976358711719513,0.4181833267211914,0.5785729289054871,0.007031047251075506
NIO_2022_NO_20220819_0000Z,NIO_2022_NO,2022-08-19T00:00:00Z,0.4977172613143921,0.5022827386856079,0.49798423051834106,0.41839367151260376,0.5821024775505066,0.006526986602693796
